Id,Name,Description,Participation,Location,Add,Region,Town,Tel,Org,Start,End,Cycle,Noncycle,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class1,Class2,Map,Travellinginfo,Parkinginfo,Charge,Remarks
C2_315080000H_080675,2022基隆潮境海灣節,望海巷潮境海灣，範圍自環保復育公園海岬至深澳岬之海域，面積約250公頃，海灣山海景觀秀麗、生態資源豐富，具有獨特海岸地質風貌與潮間帶，每年春末至秋初時節氣候溫和宜人，相當適合各類戶外休憩活動與教育體驗。希望透過海灣節辦理各項活動，以觸發觀眾「親近海洋、認識海洋、善用海洋、善待海洋、永續海洋」，打造海灣及週邊場域變成「海洋生態體驗園區」。民國104年（西元2015年）至民國106年（西元2017年）由國立海洋科技博物館辦理三屆「Aquatopia 渥托邦-海洋狂想」海洋生活博覽會系列活動，每年吸引上萬人次參加，大受好評，已成為成北臺灣年度盛事。民國107年（西元2018年）起，由基隆市政府接繼辦理相關海灣體驗活動，延續渥托邦活動的熱潮，並與本市產、關、學、研相關單位合作，如基隆區漁會、八斗子漁村、長潭漁村、特定漁業產銷班、海科館及交通部北觀處等，擴大服務對象及新增多項親海及體驗行程，針對不同族群與海洋產生關連的方式做為切入點，推出五大「潮」活動，包括「潮海洋」、「潮音樂」「潮美食」、「潮生態」與「潮漁村」，舉凡海灣可發展之海洋運動、生態旅遊、海洋工作假期、漁村活絡、海底影像記錄、海洋音樂、海洋美食等，讓不同族群與海洋交集而留下了美好生命經驗，將透過這樣的機制，規劃寓教於樂的海洋體驗活動，吸引大眾走進基隆的海洋場域，感受海洋生活之豐富。,,基隆市 中正區,碧砂漁港,基隆市,中正區,,基隆市政府,2022/08/01 00:00:00,2022/09/04 00:00:00,,,https://www.chaojingbay.com.tw/,https://www.taiwan.net.tw/att/event/9cb4d0df-2b40-452b-bb44-0118d778adda.jpg,基隆潮境海灣節－潮音樂：結合在地美食、海洋風格與環保的草地音樂會，鹹鹹的海風，吹出基隆限定的幸福味道。,https://www.taiwan.net.tw/att/event/20596994-0743-4822-8721-f10135cb940f.jpg,基隆潮境海灣節－潮美食：於基隆101高地上辦理海風盛宴，海風迎面吹拂，看星光與漁火點點閃爍。,https://www.taiwan.net.tw/att/event/2121fcc8-020b-4b72-9fa8-d57727ebf8cc.jpg,基隆潮境海灣節－潮海洋：基隆國際帆船賽暨台琉國際帆船賽。,121.786290,25.147141,01,02,,,,,
C2_315080000H_080676,2022基隆潮藝術,「潮藝術」視在地居民的智慧及生活為藝術，也讓藝術成為問題性，一場與自然共生的大地藝術祭在裝點港口的同時也在呼喊著文化的認同。海風的鹹味提醒著我們並非身處美術館，而是遊走在現實生活與藝術的邊緣，探討著漁港特有的文化、歷史、知識、產物與情感，將其微分化並轉譯為方便閱覽的章節。「潮藝術」不只是個展覽，而是扭動了場域、時間、故事而後建構的如同港口的載體，承載著當地住民的記憶、來訪民眾的所見以及藝術家的想像。「潮藝術」自民國104年（西元2015年）至今將邁入第7年，從潮境公園拓張至舊正濱漁會大樓、阿根納造船場遺構，並打造了極具特色的海上美術館，透過循序漸進的主題，從海洋關懷出發，不斷鼓勵及激發民眾思考基隆與海洋、藝術與環境的關係，透過藝術重新喚起在地認同，民國109年（西元2020年）展覽首周即吸引千人進港，帶動當地觀光。,,基隆市 中正區,正濱漁港,基隆市,中正區,,基隆市政府文化局,2022/06/10 00:00:00,2022/06/19 00:00:00,,,,https://www.taiwan.net.tw/att/event/1dd3bbeb-9d40-480b-a093-aa77c21c0ee1.jpg,木罐子製作設計〈阿根納的船〉,https://www.taiwan.net.tw/att/event/dc0ec6a6-9db3-44a0-8244-177775f48bd0.jpg,Lua-Rivera〈祖母的海膽〉,https://www.taiwan.net.tw/att/event/63f35690-52c8-4827-8a63-7abd8756ef2c.jpg,Martens Visser〈HOLONS〉,121.766055,25.151951,01,02,,,,,
C2_315080000H_080677,2022竹子湖海芋季及繡球花季,竹子湖海拔670公尺，位居大屯山、七星山與小觀音山間的谷地。曾是火山堰塞湖，湖水退去後留下肥沃的土壤，形成典型的農村聚落，近年結合在地花卉等產業與自然、人文資源發展休閒農業，成為臺北市第三個休閒農業區。「竹子湖」自民國58年（西元1969年）從日本引進白色海芋，每一株花的花期大約是8~10天，竹子湖受陽明山國家公園管制範圍的保護，擁有豐沛潔淨的山泉水源，經多年的努力推廣，目前竹子湖白色海芋年產量占全臺海芋產量百分之80~90，每年3~5月盛開時的浪漫氣氛，加上陽明山的自然風光，都吸引國內外眾多遊客前往竹子湖海芋田賞海芋、採海芋，品嚐在地美食佳餚。竹子湖海芋季迄今已辦理19年，同時思考多元發展，自民國101年（西元2012年）開始推動繡球花產業，民國106年（西元2017年）起辦理繡球花推廣活動，民國109年（西元2020年）首度將竹子湖海芋季與繡球花季串聯舉辦。活動以海芋季及繡球花季為主軸，辦理開幕式、花藝設計展、採海芋花體驗、假日免費生態人文導覽解說、平日付費生態農園體驗及花田有約等活動，近5年海芋季及繡球花季期間參與人次平均達50萬以上。,,臺北市 北投區,竹子湖路1之20號,臺北市,北投區,,臺北市政府產業發展局,2022/03/18 00:00:00,2022/06/19 00:00:00,海芋季：3/18-4/24；繡球花季：5/20-6/19,,http://www.callalily.com.tw/,https://www.taiwan.net.tw/att/event/38a0d7b6-432c-458a-9b29-f278fe7728ef.jpg,臺灣約80~90%白色海芋產自竹子湖,https://www.taiwan.net.tw/att/event/e1f3ff98-ce95-43a3-a5dc-86f300cdbf36.jpg,體驗穿青蛙裝下田採海芋,https://www.taiwan.net.tw/att/event/fd7ff22c-ab16-48dc-ba7e-2890a31edff6.jpg,竹子湖海芋季及繡球花季，農園中的地景藝術為農友親自打造，別具特色,121.536788,25.175495,01,02,,,,,
C2_315080000H_080678,新北市貢寮海洋音樂祭,「貢寮海洋音樂祭」起始於民國99年（西元2010年），係爲豐富新北市的海洋文化性格、建立貢寮區地方特質並發展文化觀光以鼓勵本土音樂創作之精神，選定福隆海水浴場這片黃金沙灘，藉由活動行銷新北市126公里海岸線的自然景觀旅遊資源，成功塑造貢寮為臺灣北部海洋搖滾新據點。貢寮國際海洋音樂祭即將進入第20回，所秉持的理念是鼓勵台灣本土音樂的創作，並提供獨立樂團一個專屬且不受限制的舞台，讓所有的樂團可以在這個舞台上以創作表達自我，並能擁有盡情揮灑的空間，也是讓獨立音樂人能有被看見、被欣賞及被肯定的機會。活動表演以樂團接力的方式進行，主要活動內容除了有邀請國內外知名樂團進行演出的主舞台，開放獨立樂團自由報名的小舞台與自第2屆開始舉辦重視音樂原創性及現場表演實力的「海洋獨立音樂大賞」之外，自民國107年（西元2018年）起更設立多元曲風的第三舞台，提供遊客更多元的音樂盛會。,,新北市 貢寮區,福隆里興隆街40號,新北市,貢寮區,,新北市政府,2022/08/01 00:00:00,2022/08/31 00:00:00,2022年暫停辦理,,,https://www.taiwan.net.tw/att/event/203b5e61-6f91-4423-8694-f45582ff80eb.jpg,冒險台邀請國內外知名樂團帶來精采演出,https://www.taiwan.net.tw/att/event/0391b60b-4fff-4fbc-886e-1ecf9f80a161.jpg,自由台由藝術家設計打造天幕裝置藝術,https://www.taiwan.net.tw/att/event/d4a9d5cd-68d2-4049-9719-3ee59ad8cc1e.jpg,冒險台表演與熱情的觀眾,121.943158,25.021998,01,02,,,,,
C2_315080000H_080679,2022新北萬里蟹,本市每年訂於9月辦理萬里蟹產季起跑記者會，除宣告萬里蟹產季正式到來，並預告10月至12月即將舉辦的一系列萬里蟹季產地活動，如淡水肥蟹宴、富基品蟹宴、野柳假日活蟹市集、龜吼漁夫市集萬里蟹促銷活動等，以萬里蟹之名串連新北特色漁港，系列活動最高潮為10月於野柳漁港盛大舉行的萬里蟹主場活動，讓民眾來到產地品嚐鱻蟹宴，現場其他民眾還可以參加搭乘娛樂漁船體驗捕蟹人生、走訪野柳咾咕厝、瑪鋉居及保安宮等漁村風情導覽以及海洋獨木舟等漁業體驗活動，藉由系列活動讓民眾就近到漁港體驗休閒漁業活動，進而以行動支持在地漁業的永續發展。,,新北市 萬里區,野柳漁港,新北市,萬里區,,新北市政府,2022/09/09 00:00:00,2022/11/27 00:00:00,,,https://wanlicrab.tw/,https://www.taiwan.net.tw/att/event/82645274-2cf9-4d1a-846f-44bd14c43137.jpg,因應疫情，萬里蟹首度與知名電商合作推出熟蟹電商宅配服務，民眾免前往產地，就可以品嚐帶來自產地最新鮮的萬里蟹,https://www.taiwan.net.tw/att/event/fb6711c9-76e4-41af-b472-1d8037ac0606.jpg,產地特賣會,https://www.taiwan.net.tw/att/event/28950565-0ab6-4f44-abda-e006efac4257.jpg,參加活動民眾皆配合防疫規定戴口罩，購買螃蟹熱情不減,121.687063,25.205871,01,02,,,,,
C2_315080000H_080680,2022桃園地景藝術節,每年移動的藝術節地景藝術節與歐洲文化首都(ECC)的移動策略概念相近，藉由「移動」的特性，喚起地方意識。地景藝術節每年擇定不同展區，藉由藝術節翻轉空間、提升公共建設、擾動社區社群，重新認識桃園每一處地方，也藉由市府及民間資源的投入，讓各區域再次被大家認識。無圍牆美術館每年超過30件作品在大地上，桃園地景藝術節以三大主軸－「地方覺醒」、「社區風動」、「藝術打樁」，以及四大價值─「社區參與」、「在地特色」、「環境永續」、「循環經濟」，打造在地化品牌象徵。以桃園的自然景觀及人文資產為基礎，透過豐富多元的藝術展演及活動規劃，結合社區參與和民眾互動，讓藝術更貼近環境與常民生活，也讓大家以嶄新角度重新發現土地和環境，重新看到在地生態保存、人文景觀及歷史足跡。愈在地，愈國際除了邀請國內外藝術家進駐創作，另規劃國際論壇借鏡亞洲、歐洲的經驗，探討地景藝術節的多元論述，也邀請日本友好城市來參與交流活動並經驗分享，且每年的國際表演團隊因地制宜，表演融入在地地景，總能帶給民眾新的感官體驗。深度觀光桃園地景藝術節創辦於民國102年（西元2013年），每年9月辦理，搭配中秋節連假前後共3週，本屆因疫情影響，展延至隔年3月辦理。延伸無圍牆美術館的意趣，串連裝置藝術、生態，以深度體驗規劃，探訪展區及周邊自然景觀及地方人文，並串連在地社區、觀光景點及觀光工廠，每年吸引約150萬人次參與。,,桃園市 大溪區,大溪河濱公園,桃園市,大溪區,,桃園市政府文化局,2022/09/08 00:00:00,2022/09/25 00:00:00,,,https://www.taoyuanlandart.com.tw/,https://www.taiwan.net.tw/att/event/472a57c0-ecf7-4b08-bcb8-a2e5c0411598.jpg,高雙陂塘漣漪迷宮,https://www.taiwan.net.tw/att/event/e852e870-a205-4adf-9c66-800831b370f3.jpg,豫章之家,https://www.taiwan.net.tw/att/event/7780e00f-6f5a-4717-b2a1-718ef91944ec.jpg,竹下秋千,121.283638,24.893260,01,02,,,,,
C2_315080000H_080681,2022桃園國際風箏節,大溪，以大漢溪名為地名，顯示出大漢溪在此區的發展扮演著重要的角色。早期大漢溪水源豐沛深可行船，順流而下孕育了河川右岸的貿易、木材產業；滋養了河川左岸水稻、韭菜產業，展現大溪的水與在地人民有著共存共榮的關係。大漢溪左岸的中庄地區，因水源保護區而低度開發，河階地勢關係，每年秋季的東北季風穩而風力強，相當適合施放風箏！中庄調整池是一個平面水庫，為板新淨水廠的備用水庫來源，同時亦為景觀池，於民國106年（西元2017年）竣工，外型像把大提琴，環境優美。景觀土丘則是利用中庄調整池餘方回填，經過綠美化工程，形成一個4.5公頃一望無際的大草坪，非常適合放風箏及舉行各式運動的多功能場所。乘風飛翔的風箏運動，正是低碳觀光的最佳展現！民國107年（西元2018年）開始桃園市政府為活化景觀土丘，邀請國內外風箏團隊表演大型主題特色風箏、特技風箏，讓翱翔天際的繽紛風箏成為大溪獨特的秋景，歡迎民眾一起來體驗一場精彩絕倫的風箏嘉年華。,,桃園市 大溪區,中庄調整池景觀土丘,桃園市,大溪區,,桃園市政府觀光旅遊局,2022/04/09 00:00:00,2022/04/10 00:00:00,,,https://www.tycg-kite.com/,https://www.taiwan.net.tw/att/event/44296f8e-98e4-4c06-80e2-355ab999fcc2.jpg,桃園國際風箏節,https://www.taiwan.net.tw/att/event/b752dbd5-7097-4fab-9afc-e3304c2805fe.jpg,星際箏霸戰,https://www.taiwan.net.tw/att/event/ec1a356b-b7b6-4203-83f9-95cc1071e98b.jpg,桃園的童話世界,121.318169,24.925746,01,02,,,,,
C2_315080000H_080682,2022龍岡米干節,全國獨特文化櫥窗-異域金三角桃園龍岡地區，早年為國民政府撤退自滇緬泰的異域孤軍聚居，居民們帶著家鄉文化、美食來到龍岡落地生根，龍岡一帶更擁有全臺難得的少數民族文化，如景頗、傣、傈僳族等。為讓民眾對異域金三角文化有更深認識，桃園市政府自民國100年（西元2011年）以在地美食「米干」為主軸說故事，開辦第一屆「龍岡米干節」，透過活動展示異域金三角文化表演藝術、美食佳餚。異國家常到在地美食-龍岡米干米干原為雲南一帶家常料理，是孤軍們的家鄉記憶，隨著來臺落地生根，米干也融入了臺灣味，更是全國米干餐廳的擂台，100%純米製作，米干湯頭可比日式拉麵匠人的用心，經過10年龍岡米干節活動推廣，「龍岡」，「米干」二字已相生相存，龍岡成為米干的故鄉。從生活走入旅行-龍岡小旅行龍岡米干節是活動品牌，也是在地商圈品牌，在地商家也因應活動推出特色旅遊體驗，民國109年（西元2020年）龍岡米干節首次提出「忠貞商圈廚藝小旅行」，帶領遊客走進龍岡在地的日常，活動期間帶領遊客走進龍岡忠貞市場採買異國食材，並由在地的住民教導遊客製作金三角特色料理如緬甸茶葉飯，透過活動輔導讓實質的旅遊產品因應而生。,,桃園市 中壢區,龍岡大操場,桃園市,中壢區,,桃園市政府觀光旅遊局,2022/04/11 00:00:00,2022/04/17 00:00:00,,,,https://www.taiwan.net.tw/att/event/2aefe993-7039-4a2e-a4fc-d1f46a4a6014.jpg,潑水節活動,https://www.taiwan.net.tw/att/event/1ab8d884-26dc-408e-b37c-bde6086c72f7.jpg,打歌踩街,https://www.taiwan.net.tw/att/event/bd110203-4939-48cd-8aa0-8f32fe6af56d.jpg,踩街活動,121.238088,24.929561,01,02,,,,,
C2_315080000H_080683,2022桃園彩色海芋季,為推廣桃園溪海的彩色海芋，讓彩色海芋與地方品牌連結更強烈，延伸「海洋奇芋記」主題，打造桃園大園限定的大片彩色海芋花海，搭配海洋生物戀愛互動的大型花毯裝置，帶領民眾一起與溪海浪漫相芋。民國110年（西元2021年）桃園彩色海芋季以彩色海芋花語的意涵設計7組藝術裝置，以花卉展現海洋生物求愛的浪漫互動；除了藝術意象的裝置設計外，也規劃了一連串以彩芋 X 溪海 X 海洋為主題的創意亮點活動。另整合周邊農場設計集章活動，吸引民眾於活動期間也能進到周邊農場進行消費與觀光、參與活動、認識地方；並與功學社單車合作，規劃彩色海芋單車路線，以牌面引導民眾騎乘自行車前往會場，將綠色生活美學導入遊客心中。,,桃園市 大園區,聖德北路與田溪路交叉口,桃園市,大園區,,桃園市政府農業局,2022/04/02 00:00:00,2022/04/17 00:00:00,,,,https://www.taiwan.net.tw/att/event/497faaee-5b75-487d-bc60-447bf8a2e9df.jpg,桃園彩色海芋季-海底芋見愛,https://www.taiwan.net.tw/att/event/3d59b815-20f4-41d8-a965-79bda6b62613.jpg,桃園彩色海芋季-只龍你心,https://www.taiwan.net.tw/att/event/dff6976b-a0b7-47a3-a964-f51f8ba1b1c3.jpg,桃園彩色海芋季-絲情話意,121.195473,25.032867,01,02,,,,,
C2_315080000H_080684,2022義魄千秋-全國義民祭在新竹縣,新埔褒忠亭（義民廟）是北臺灣客家人的信仰中心，也是新竹縣的縣定古蹟，創建至今已超過230年。褒忠亭義民祭典的十五聯庄輪值的歷史至少可以追溯至西元1835年，迄今亦超過180年，是客家族群第一項榮獲文化部指定的國家重要民俗，也由客委會列為「客庄12大節慶」之一。新埔褒忠亭兼具「有形」與「無形」兩項文化資產身份，不但是客家文化傳承的重要資產，也是我國文化豐富多元與多樣化的具體展現。義民祭之所以受到客家鄉親甚至全國的關注，主要是傳承220餘年來的文化祭典，係由新竹縣、市、桃園市等3縣市、20鄉鎮市區組成15大聯庄祭典區輪值主辦，維持嚴謹的經營管理制度，不斷投入民間資源，完整保存傳統輪值制度與祭儀，充分展現了民間自發力量與社群凝聚力。今日，新竹縣褒忠亭的分香廟宇遍佈全臺，義民信仰地位屹立不搖。,,新竹縣 新埔鎮,新埔枋寮義民廟,新竹縣,新埔鎮,,新竹縣政府、財團法人台灣省新竹縣褒忠亭、新埔聯庄輪值祭典區,2022/08/13 00:00:00,2022/08/17 00:00:00,,,,https://www.taiwan.net.tw/att/event/c9d5d232-3288-4504-9764-cdf97ffc8a2c.jpg,新埔褒忠義民廟義民祭祭祀大典熱鬧展開,https://www.taiwan.net.tw/att/event/7fba3082-f0c7-4003-ba35-3375646e9a3f.jpg,挑擔奉飯儀式,https://www.taiwan.net.tw/att/event/e8cad7bf-42e3-44df-8a19-710948b417a9.jpg,放水燈儀式,121.036390,24.844249,01,02,,,,,
