sna,total,可借數,sarea,可還空位數
大鵬華城,20,6,新店區,10
汐止火車站,44,9,汐止區,35
汐止區公所,46,8,汐止區,37
國泰綜合醫院,48,32,汐止區,16
捷運大坪林站(5號出口),46,20,新店區,26
汐科火車站(北),26,1,汐止區,25
興華公園,40,31,三重區,8
三重國民運動中心,68,5,三重區,59
捷運三重站(3號出口),24,0,三重區,24
樟樹國小,40,34,汐止區,5
金龍國小,42,21,汐止區,20
白雲國小,16,2,汐止區,14
東勢宜興活動中心,30,17,汐止區,13
後港公園,34,13,新莊區,21
福營行政中心,34,0,新莊區,34
西盛公園,36,16,新莊區,20
忠誠里(北新路2段97巷),20,1,新店區,19
仁愛廣場,50,30,蘆洲區,20
重陽國小,36,2,三重區,10
明志國中,50,15,三重區,34
三重商工,64,17,三重區,46
捷運新莊站(1號出口),58,22,新莊區,22
原興廣場,32,24,汐止區,8
文化白雲公園,68,12,汐止區,56
秀山國小,46,27,中和區,19
捷運永安市場站,50,0,中和區,49
仁愛公園,60,32,永和區,27
中和公園,38,31,中和區,7
金龍公園,44,16,汐止區,27
重陽公園,50,21,蘆洲區,22
捷運三民高中站(1號出口),66,32,蘆洲區,33
中原公園,58,22,蘆洲區,35
丹鳳派出所,26,6,新莊區,19
小金門友誼公園,42,21,新店區,21
中興寶橋路口,30,10,新店區,20
新莊棒球場,74,30,新莊區,42
頂溪國小,36,18,永和區,18
永和國小,30,7,永和區,14
秀朗國小,32,18,永和區,14
台北慈濟醫院,26,11,新店區,14
捷運頂溪站(1號出口),30,0,永和區,28
保安永平路口,42,17,永和區,25
崇光女中,36,2,新店區,31
新店高中,30,15,新店區,15
新莊文化藝術中心,48,17,新莊區,30
中華中原路口,58,32,新莊區,26
新北高中,60,31,三重區,29
福壽公園,36,9,新莊區,27
保長公園,60,46,汐止區,14
新店公有中央市場,28,9,新店區,19
永平高中,34,26,永和區,8
惠國市場,28,7,新店區,21
陽光橋,40,22,新店區,15
中興寶慶街口,42,19,新店區,13
東方科學園區,52,4,汐止區,47
連興龍安路口,62,19,汐止區,39
青山國民中小學,50,18,汐止區,31
汐止區綜合運動場,44,8,汐止區,34
汐止公園,52,13,汐止區,39
保順環河西路口,48,45,永和區,2
台灣科學園區,40,5,汐止區,32
中正國小,32,21,新店區,11
開元市民活動中心,24,20,三重區,3
雍和科學園區,44,6,汐止區,38
二重國小,46,25,三重區,21
二重國中,70,14,三重區,56
三重行政中心,44,22,三重區,20
新北市立圖書館三重分館,50,2,三重區,48
三張公園,40,27,三重區,12
捷運丹鳳站(1號出口),46,2,新莊區,38
永福橋,32,15,永和區,16
中港國小,50,25,新莊區,25
六合公園,36,22,三重區,14
正義公園,44,30,三重區,14
捷運徐匯中學站(1號出口),48,26,蘆洲區,22
黃城公園,32,14,新莊區,17
捷運菜寮站(3號出口),30,8,三重區,20
捷運三和國中站(1號出口),80,10,三重區,70
中和國民運動中心,50,10,中和區,39
四維公園,40,2,新莊區,38
蘆洲國民運動中心,42,0,蘆洲區,41
和平公園,20,11,三重區,9
三重綜合體育館,52,25,三重區,25
信義公園,16,11,三重區,5
捷運小碧潭站(1號出口),44,12,新店區,32
秀得里(成功路二段),20,6,永和區,7
永平公園,38,7,蘆洲區,23
永康公園,34,9,蘆洲區,25
頭前運動公園,50,22,新莊區,25
頭前國中,42,19,新莊區,22
建國民權路口,14,10,新店區,17
聯邦公園,48,20,三重區,28
捷運蘆洲站,92,34,蘆洲區,56
集成成功路口,24,9,三重區,15
板橋國民運動中心,34,22,板橋區,12
永安公園,38,20,板橋區,18
捷運江子翠站(3號出口),44,0,板橋區,43
音樂公園,48,26,板橋區,21
捷運七張站(1號出口),22,0,新店區,21
北新國小,38,17,新店區,21
捷運新埔站(2號出口),40,1,板橋區,38
聯合醫院板橋院區,34,25,板橋區,9
捷運板橋站(3號出口),44,26,板橋區,18
民生公園,42,19,板橋區,22
新北市政府(新府路),56,16,板橋區,39
捷運板橋站(1號出口),102,2,板橋區,100
板橋地政事務所,48,10,板橋區,38
板橋戶政事務所,20,7,板橋區,11
板橋和平公園,40,21,板橋區,17
碧華公園,28,12,三重區,16
五福里(五華街),52,24,三重區,28
同安公園,30,17,三重區,13
中華里(中華路二段),38,13,新莊區,25
中華自治街口,36,20,新莊區,16
捷運亞東醫院站(2號出口),52,3,板橋區,48
新泰公園,36,22,新莊區,12
上林里(環河東路一段),30,7,永和區,23
進安公園,22,8,三重區,13
自強溪尾街口,40,20,三重區,20
捷運三重國小站,32,0,三重區,32
五堵火車站,56,12,汐止區,44
捷運南勢角站(4號出口),66,0,中和區,65
柳堤公園,42,8,蘆洲區,34
新北市立圖書館總館,30,2,板橋區,26
永福國小,28,14,三重區,14
明志國小,64,12,泰山區,51
蘆洲三民公園,26,7,蘆洲區,19
臺北醫院,34,32,新莊區,2
重新重安街口,36,12,三重區,20
柴埕市民活動中心,38,7,新店區,27
思賢國小,52,29,新莊區,23
莊敬公園,38,16,板橋區,20
豐年國小,28,20,新莊區,7
新海長江路口,36,22,板橋區,14
捷運新埔站(4號出口),50,0,板橋區,49
板橋仁愛公園,52,27,板橋區,25
泰山國小,32,12,泰山區,12
縣民民族路口,24,17,板橋區,4
光華東帝士,34,20,新莊區,13
廣福公園,22,12,板橋區,10
板橋四維公園,54,28,板橋區,26
捷運頂埔站(2號出口),52,36,土城區,16
龍門龍濱路口,30,19,三重區,10
青潭國小,40,9,新店區,30
金城忠義路口,34,11,土城區,23
華德公園,38,17,板橋區,20
橋東里(忠孝東路),28,25,汐止區,2
中山國中,28,13,板橋區,15
捷運土城站(2號出口),52,10,土城區,41
四川遠東路口,48,19,板橋區,28
員林社區公園,42,21,土城區,21
中正橋,20,4,永和區,14
北港國小,44,30,汐止區,13
捷運新店站,28,19,新店區,9
錦和高中,22,14,中和區,8
新樹公園,32,15,新莊區,17
中和環球購物中心,32,7,中和區,24
厚德公園,36,17,三重區,18
板橋信義公園,40,26,板橋區,14
國光里(國光路),26,25,板橋區,1
民生長江路口,100,44,板橋區,56
華福市民活動中心,28,16,中和區,12
浮洲合宜住宅(合安一路),34,9,板橋區,17
建福公園,32,14,新莊區,18
水河里活動中心,52,31,蘆洲區,20
延和社區公園,32,0,土城區,0
國光公園,42,23,板橋區,19
樹林火車站(後站),50,5,樹林區,44
文林國小,24,14,樹林區,10
土城綜合體育場,44,9,土城區,35
板橋福德公園,32,4,板橋區,28
光華公園,32,19,樹林區,12
