,有提到的單字,次數
0,快訊,7
1,／,11
2,港西,1
3,聯外,1
4,道路,1
5,北向,1
6,0.8,1
7,k,1
8,基隆港,1
9,段,1
10,　,92
11,大貨車,2
12,翻車,1
13,全線,1
14,封閉,1
15,尹鈞,1
16,相,1
17,下巴,1
18,線條,1
19,回來,3
20,了,12
21,！,58
22,暴瘦,1
23,現身,2
24,、,9
25,帥臉,1
26,小,2
27,一半,1
28,網驚,2
29,呆,1
30,：,36
31,差,1
32,好多,1
33,孟耿如,1
34,「,58
35,舊屋,1
36,翻新,1
37,」,58
38,成果,1
39,出爐,2
40,激美,1
41,原因,5
42,超暖,1
43,希望,2
44,爸媽,1
45,早點,1
46,享福,1
47,沒,3
48,颱,1
49,風,1
50,攪局,1
51,石門,1
52,水庫,1
53,快楓,1
54,預期,1
55,變葉景觀,1
56,近年,1
57,最佳,2
58,遭控,1
59,和,3
60,女同事,1
61,口頭,1
62,激烈,1
63,弄,1
64,到,2
65,腰酸,1
66,公務員,1
67,拿,1
68,就,3
69,醫證明,1
70,讓,2
71,人夫,2
72,敗訴,1
73,台灣桂,1
74,竹筍,1
75,澎湖,1
76,軟絲入,1
77,菜,1
78,台,5
79,中,2
80,米其林,1
81,鹽之華,1
82,冬季,1
83,新菜,1
84,登場,1
85,DJ,1
86, ,1
87,RayRay,1
88,打碟,1
89,炸,3
90,翻,2
91,全場,3
92,70,1
93,歲,6
94,老父,1
95,聽,1
96,整晚,1
97,他,8
98,有,4
99,戴,2
100,耳塞,1
101,黃,1
102,仲翔,1
103,完封勝,1
104,穀,2
105,保奪,1
106,中信,3
107,盃,3
108,黑豹,3
109,旗隊,1
110,史,1
111,第,1
112,3,8
113,冠,1
114,高虹安前,1
115,辦,1
116,公室,1
117,行政,1
118,主任,1
119,列,1
120,被告,1
121,？,5
122,北檢,1
123,不予,1
124,評論,1
125,台南,2
126,全新,1
127,湖景,2
128,遊樂場,1
129,超,1
130,好玩,1
131,滑草,1
132,溜滑梯,1
133,小孩,2
134,放電,1
135,水管,1
136,涼亭,1
137,看,9
138,KARA,1
139,昇,1
140,延認,1
141,曾,1
142,反對齡,1
143,智,1
144,加入,2
145,照片,2
146,秒,5
147,驚訝,1
148,我無法,1
149,接受,1
150,五男四女,1
151,想,3
152,婚,1
153,求救,1
154,美滿,1
155,中心,1
156,曝,5
157,阿公,2
158,下,2
159,通牒,1
160,我會,1
161,死不瞑目,1
162,林青霞,1
163,被,11
164,讚,2
165,暖,1
166,心,1
167,舉,1
168,動,1
169,這是,1
170,小事,2
171,我,5
172,喜歡,1
173,看到,1
174,人家,1
175,高興,1
176,營養,1
177,師激,1
178,推,1
179,超佛系,1
180,減肥法,1
181,不用,1
182,運動,1
183,睡不夠,1
184,變胖,1
185,機率,1
186,高,1
187,55%,1
188,林俊傑,1
189,報名,1
190,五月天,2
191,下落,1
192,當眾,1
193,宣布,2
194,另,1
195,一,1
196,夯團,1
197,...,5
198,嗨,2
199,高雄,4
200,巨蛋,2
201,湧,1
202,12460,2
203,人,4
204,魔,1
205,獸,1
206,雲豹,1
207,仍,1
208,遭,3
209,海神,1
210,21,2
211,分,1
212,痛宰,1
213,東北,1
214,季風,1
215,又,2
216,來,5
217,2,8
218,縣市,1
219,大雨,1
220,特報,1
221,入夜,1
222,北台,1
223,灣先,1
224,轉涼,1
225,信箱,1
226,鎖頭,1
227,壞,1
228,人妻,1
229,一開,1
230,見,3
231,塞滿,1
232,原味,1
233,內衣褲,1
234,留言,2
235,歪樓,1
236,目測,1
237,D,1
238,從,2
239,館長,1
240,案,1
241,蔡,1
242,政府,1
243,會不會,1
244,反省,1
245,他批,1
246,黑金,2
247,化成,1
248,小英,1
249,執政,1
250,烙印,1
251,丁國琳,1
252,爆,5
253,很多,1
254,八點,1
255,檔,1
256,男星,1
257,約,2
258,合作,1
259,生情,1
260,追,1
261,N年,1
262,可是,1
263,已婚,1
264,《,3
265,咒,1
266,》,3
267,番外,1
268,超展,1
269,開,1
270,朵朵,1
271,買,2
272,大黑,1
273,佛母,1
274,公仔,1
275,柯孟融,1
276,一看,2
277,崩潰,2
278,不要,1
279,啦,4
280,北,2
281,市,2
282,立委,1
283,補選,1
284,60,1
285,天,3
286,指,1
287,最,1
288,短,1
289,中選會,1
290,回應,1
291,2014,1
292,年僅,1
293,43,1
294,家養,1
295,20,1
296,喵,1
297,狂,1
298,跳,1
299,上,2
300,供桌,1
301,他出,1
302,狠招,1
303,架,1
304,網關,1
305,神明,1
306,貓奴,1
307,傻,1
308,好像,1
309,坐牢,1
310,隔,1
311,年,4
312,新加坡,1
313,開唱,1
314,驚喜獻,1
315,雙,1
316,重大,1
317,禮,1
318,粉,1
319,汪到,1
320,家,1
321,度假,1
322,沒人管,1
323,放開,1
324,自我,1
325,處,1
326,挖洞,1
327,一秒,1
328,抓,1
329,包,1
330,快,1
331,閃,1
332,演出,1
333,越南,1
334,斗笠,1
335,舞,1
336,移民,2
337,署,1
338,12,3
339,10,2
340,相約,1
341,桃園,2
342,同慶,1
343,節,1
344,土地公,1
345,廟,1
346,躲雨,1
347,竟順手,1
348,摸,1
349,走,1
350,砂輪機,1
351,賊,2
352,落,1
353,網稱,1
354,手邊,1
355,缺,1
356,工具,1
357,信義區,1
358,房,2
359,公寓,1
360,免千萬,1
361,可,2
362,入手,2
363,專家,1
364,還是,1
365,太貴,1
366,碼,1
367,沒進,1
368,迦納隊,1
369,長,2
370,錯失,1
371,大好,1
372,機會,1
373,7,1
374,女兒,1
375,坐觀,1
376,眾席,1
377,當場,2
378,昏倒,1
379,李洪基,1
380,IG,2
381,突曬,1
382,新娘,1
383,合照,1
384,親妹,1
385,演員級,1
386,美貌,1
387,曝光,3
388,⋯,1
389,基因,1
390,超好,1
391,脫,1
392,口罩,1
393,用餐,1
394,醫見,1
395,隔壁,1
396,桌,1
397,1,6
398,情況,1
399,回,2
400,估,1
401,月,1
402,才能,1
403,完全,1
404,不戴,1
405,NGO,1
406,調查,1
407,中國,1
408,在,1
409,全球,1
410,設立,1
411,100,2
412,多個,1
413,海外,1
414,警察局,1
415,勸返,1
416,異議,1
417,人士,2
418,大通,1
419,緝犯,1
420,名單,1
421,逃犯,1
422,警局,2
423,FB,1
424,那,1
425,呢,1
426,銬,1
427,台中,3
428,女,4
429,嬰送,1
430,保母家疑,1
431,遭虐,1
432,昏迷,1
433,搶救,1
434,24,1
435,天不治,1
436,母,1
437,PO,1
438,文,1
439,令人,1
440,鼻酸,1
441,米,1
442,白念,1
443,舊留,1
444,初戀,2
445,分手,1
446,故事,1
447,藏洋,1
448,蔥,1
449,沒有,1
450,伴,1
451,照顧,1
452,對方,1
453,輕軌,2
454,最美,1
455,龍貓,1
456,隧道,1
457,18,1
458,前,1
459,免費,1
460,搭,1
461,看皆川明,1
462,特展,2
463,隱藏版,1
464,茶屋,1
465,延吉街,1
466,油漆,1
467,行,1
468,火警,1
469,焦黑,1
470,濃煙狂,1
471,竄,1
472,警消架,1
473,水線,1
474,搶,2
475,救,1
476,魔獸,1
477,霍華德,1
478,肌,2
479,情練,1
480,投,1
481,人觀戰,1
482,鄭文燦學位,1
483,撤連體,1
484,重,1
485,也,3
486,鞭,1
487,美女,1
488,博士,1
489,籲,1
490,留點,1
491,口德,1
492,騎士,1
493,路口,3
494,左轉,1
495,遭同,1
496,向,1
497,休,1
498,旅車,1
499,擊落,1
