,標題,日期
0,[討論] 民放黃金檔連續劇平均收視 歷代倒數排名,10/28
1,[情報] 客家電視台 11/23起22點重播《半澤直樹》,10/28
2,[LIVE] 鋼盔男兒 EP05,10/28
3,[LIVE] 公平交易英雄 EP10,10/28
4,[閒聊] (雷) 展翅飛舞 第四週20 乘載青春的翅膀,10/28
5,[心得] Silent第四集談談湊斗,10/28
6,[心得] THE TRAVEL NURSE 旅行護理師 第二集,10/28
7,[心得] silent EP04,10/29
8,Re: [心得] Elpis-希望或是災難 ep.01 (雷),10/29
9,[閒聊] silent第四集Tver專欄劇評翻譯,10/29
10,[訪談] 鎌倉殿的13人 坂東彌十郎(北條時政)訪談,10/29
11,[心得] silent EP04,10/29
12,[心得] Silent ep2,10/29
13,[LIVE] 遊戲之子 EP02,10/29
14,[LIVE] 祈願的病歷表 EP04,10/29
15,[心得] 詐欺獵人 ep2,10/29
16,[情報] 【離婚萬歲】+特別篇 friDay影音11/1全劇,10/29
17,[心得] 企鵝先鋒！ 第四集,10/29
18,Re: [心得] 靈媒偵探城塚翡翠 Ep2（原著雷）,10/30
19,[情報] 2023大河 どうする家康 先行視覺公開,10/30
