"離婚對數","離婚對數","粗離婚率"
"109年<br>(1月至10月)/ 區域別總計","43,133","1.83"
"109年<br>(1月至10月)/ 新北市","7,599","1.89"
"109年<br>(1月至10月)/ 臺北市","4,029","1.53"
"109年<br>(1月至10月)/ 桃園市","4,856","2.15"
"109年<br>(1月至10月)/ 臺中市","5,368","1.91"
"109年<br>(1月至10月)/ 臺南市","3,297","1.76"
"109年<br>(1月至10月)/ 高雄市","5,131","1.85"
"109年<br>(1月至10月)/ 宜蘭縣","830","1.83"
"109年<br>(1月至10月)/ 新竹縣","1,061","1.87"
"109年<br>(1月至10月)/ 苗栗縣","1,016","1.87"
"109年<br>(1月至10月)/ 彰化縣","1,789","1.41"
"109年<br>(1月至10月)/ 南投縣","845","1.71"
"109年<br>(1月至10月)/ 雲林縣","1,078","1.59"
"109年<br>(1月至10月)/ 嘉義縣","831","1.66"
"109年<br>(1月至10月)/ 屏東縣","1,638","2.01"
"109年<br>(1月至10月)/ 臺東縣","486","2.25"
"109年<br>(1月至10月)/ 花蓮縣","813","2.50"
"109年<br>(1月至10月)/ 澎湖縣","201","1.90"
"109年<br>(1月至10月)/ 基隆市","718","1.95"
"109年<br>(1月至10月)/ 新竹市","859","1.91"
"109年<br>(1月至10月)/ 嘉義市","499","1.87"
"109年<br>(1月至10月)/ 金門縣","165","1.18"
"109年<br>(1月至10月)/ 連江縣","24","1.83"
"109年 1月/ 區域別總計","3,672","0.16"
"109年 1月/ 新北市","654","0.16"
"109年 1月/ 臺北市","384","0.15"
"109年 1月/ 桃園市","391","0.17"
"109年 1月/ 臺中市","456","0.16"
"109年 1月/ 臺南市","270","0.14"
"109年 1月/ 高雄市","431","0.16"
"109年 1月/ 宜蘭縣","69","0.15"
"109年 1月/ 新竹縣","92","0.16"
"109年 1月/ 苗栗縣","69","0.13"
"109年 1月/ 彰化縣","124","0.10"
"109年 1月/ 南投縣","75","0.15"
"109年 1月/ 雲林縣","96","0.14"
"109年 1月/ 嘉義縣","67","0.13"
"109年 1月/ 屏東縣","160","0.20"
"109年 1月/ 臺東縣","37","0.17"
"109年 1月/ 花蓮縣","71","0.22"
"109年 1月/ 澎湖縣","16","0.15"
"109年 1月/ 基隆市","69","0.19"
"109年 1月/ 新竹市","82","0.18"
"109年 1月/ 嘉義市","39","0.15"
"109年 1月/ 金門縣","18","0.13"
"109年 1月/ 連江縣","2","0.15"
"109年 2月/ 區域別總計","4,234","0.18"
"109年 2月/ 新北市","749","0.19"
"109年 2月/ 臺北市","353","0.13"
"109年 2月/ 桃園市","497","0.22"
"109年 2月/ 臺中市","520","0.18"
"109年 2月/ 臺南市","335","0.18"
"109年 2月/ 高雄市","497","0.18"
"109年 2月/ 宜蘭縣","91","0.20"
"109年 2月/ 新竹縣","108","0.19"
"109年 2月/ 苗栗縣","95","0.17"
"109年 2月/ 彰化縣","167","0.13"
"109年 2月/ 南投縣","78","0.16"
"109年 2月/ 雲林縣","107","0.16"
"109年 2月/ 嘉義縣","87","0.17"
"109年 2月/ 屏東縣","163","0.20"
"109年 2月/ 臺東縣","73","0.34"
"109年 2月/ 花蓮縣","88","0.27"
"109年 2月/ 澎湖縣","21","0.20"
"109年 2月/ 基隆市","60","0.16"
"109年 2月/ 新竹市","83","0.18"
"109年 2月/ 嘉義市","48","0.18"
"109年 2月/ 金門縣","10","0.07"
"109年 2月/ 連江縣","4","0.31"
"109年 3月/ 區域別總計","4,654","0.20"
"109年 3月/ 新北市","788","0.20"
"109年 3月/ 臺北市","412","0.16"
"109年 3月/ 桃園市","545","0.24"
"109年 3月/ 臺中市","573","0.20"
"109年 3月/ 臺南市","385","0.20"
"109年 3月/ 高雄市","563","0.20"
"109年 3月/ 宜蘭縣","92","0.20"
"109年 3月/ 新竹縣","100","0.18"
"109年 3月/ 苗栗縣","127","0.23"
